,price,area,br,ba,posdt,dogs,cats,wd,house,apartment,laundry,garage,carport,furnished,latitude,longitude,zipc,num_img
0,1514.0,735.0,1.0,1.0,2018-07-11T17:51:48-0700,1,1,1,0,1,0,0,1,0,47.71251,-122.344467,98133,8.0
1,1680.0,774.0,1.0,1.0,2018-07-11T17:51:29-0700,1,1,1,0,1,0,0,0,0,47.767543,-122.191731,98011,24.0
2,2224.0,785.0,1.0,1.0,2018-06-28T07:28:43-0700,1,1,1,0,1,0,1,0,0,47.668783,-122.388578,98107,14.0
3,1230.0,675.0,1.0,1.0,2018-07-03T03:07:04-0700,1,1,1,0,1,0,0,1,0,47.236302,-122.555076,98466,9.0
4,2100.0,578.0,1.0,1.0,2018-07-11T17:16:22-0700,1,1,1,0,1,0,0,0,0,47.610162,-122.324042,98104,16.0
5,1125.0,598.0,1.0,1.0,2018-07-11T17:09:19-0700,0,0,0,0,1,0,0,0,0,47.286587,-122.360988,98023,5.0
6,1625.0,980.0,2.0,2.0,2018-07-11T17:51:19-0700,1,1,1,0,1,0,0,0,0,47.9017,-122.2472,,14.0
7,1898.0,1125.0,2.0,2.0,2018-07-11T17:51:04-0700,1,1,1,0,0,0,1,0,0,47.100361,-122.273947,98374,8.0
8,1733.0,594.0,0.0,1.0,2018-07-11T17:51:00-0700,1,1,1,0,1,0,1,0,0,47.621264,-122.35924,98119,11.0
9,1180.0,277.0,0.0,1.0,2018-07-11T17:50:51-0700,0,1,0,0,1,0,0,0,0,47.671541,-122.379505,98107,15.0
10,2059.0,792.0,1.0,1.0,2018-07-11T17:50:50-0700,1,1,1,0,1,0,1,0,0,47.6155,-122.2072,98004,10.0
11,1745.0,975.0,1.0,1.0,2018-07-11T17:50:44-0700,1,1,1,0,1,0,0,0,0,47.551889,-122.03918,,5.0
12,1984.0,1024.0,2.0,2.0,2018-07-11T17:50:43-0700,0,0,0,0,0,0,0,0,0,47.717893,-122.176463,98034,5.0
13,1933.0,619.0,1.0,1.0,2018-07-11T17:50:40-0700,1,1,1,0,1,0,1,0,0,47.668783,-122.388578,98107,14.0
14,1689.0,950.0,2.0,1.0,2018-07-11T17:50:37-0700,1,1,1,0,1,0,0,0,0,47.465018,-122.204679,98055,15.0
15,398.0,,1.0,1.0,2018-07-05T09:57:49-0700,1,1,0,0,1,0,0,0,1,47.176593,-122.434081,,11.0
16,1595.0,884.0,2.0,1.0,2018-07-11T17:49:25-0700,1,1,1,0,1,0,0,0,0,47.775858,-122.331057,98133,16.0
17,1310.0,1168.0,2.0,2.0,2018-07-11T17:37:21-0700,1,0,1,0,1,0,0,0,0,47.1291,-122.4094,,15.0
18,1735.0,1003.0,2.0,2.0,2018-07-11T17:49:05-0700,1,1,1,0,1,0,0,0,0,47.475999,-122.221184,98057,4.0
19,1084.0,903.0,1.0,1.0,2018-07-11T17:41:33-0700,1,1,1,0,1,0,0,0,0,47.1291,-122.4094,,15.0
20,1613.0,727.0,1.0,1.0,2018-07-11T17:48:25-0700,0,0,0,0,0,0,0,0,0,47.717893,-122.176463,98034,7.0
21,1105.0,,1.0,1.0,2018-07-11T17:48:02-0700,1,1,1,0,1,0,0,1,0,47.2632,-122.4993,,5.0
22,3620.0,1100.0,2.0,2.0,2018-07-11T17:37:58-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
23,1475.0,745.0,1.0,1.0,2018-06-29T07:45:31-0700,0,0,1,0,1,0,0,1,0,47.436904,-122.196816,98055,8.0
24,2195.0,1120.0,2.0,,2018-06-30T06:16:21-0700,0,0,1,0,0,0,1,0,0,47.58832,-122.309336,98144,9.0
25,2275.0,656.0,0.0,1.0,2018-07-11T17:47:49-0700,0,0,0,0,0,0,0,0,0,47.606311,-122.315147,98122,23.0
26,1380.0,620.0,1.0,1.0,2018-07-11T17:47:37-0700,1,1,0,0,1,0,0,0,0,47.459973,-122.195892,,5.0
27,2078.0,912.0,2.0,2.0,2018-07-11T17:47:34-0700,1,1,1,0,1,0,0,1,0,47.696115,-122.192559,98033,11.0
28,1580.0,949.0,2.0,2.0,2018-07-03T14:56:41-0700,0,0,0,0,1,0,0,0,0,47.673004,-122.669856,98383,8.0
29,1295.0,326.0,0.0,1.0,2018-07-11T17:47:14-0700,0,1,0,0,1,0,0,0,0,47.671541,-122.379505,98107,15.0
30,2819.0,1369.0,2.0,2.0,2018-07-11T17:47:13-0700,1,1,1,0,1,0,1,0,0,47.6155,-122.2072,,6.0
31,2395.0,716.0,1.0,1.0,2018-07-11T17:47:12-0700,1,1,1,0,1,0,1,0,0,47.619189,-122.320837,98122,4.0
32,1895.0,535.0,0.0,1.0,2018-07-11T17:45:01-0700,0,0,0,0,0,0,0,0,0,47.606311,-122.315147,98122,17.0
33,2080.0,543.0,1.0,1.0,2018-07-11T17:25:56-0700,1,1,1,0,1,0,1,0,0,47.604545,-122.317175,98122,15.0
34,1895.0,535.0,1.0,1.0,2018-07-11T17:45:53-0700,0,0,0,0,0,0,0,0,0,47.606311,-122.315147,98122,16.0
35,1084.0,903.0,1.0,1.0,2018-07-11T17:40:47-0700,1,1,1,0,1,0,0,0,0,47.1291,-122.4094,,15.0
36,995.0,670.0,1.0,1.0,2018-07-11T17:45:58-0700,0,0,0,0,1,0,0,0,0,47.238,-122.347072,98424,8.0
37,1338.0,689.0,1.0,1.0,2018-07-11T17:45:50-0700,1,1,1,0,1,0,0,0,0,47.408029,-122.315327,98168,24.0
38,1850.0,1000.0,2.0,1.0,2018-07-07T08:29:38-0700,0,0,1,0,1,0,0,0,0,47.55182,-122.364137,98106,7.0
39,1500.0,900.0,2.0,2.0,2018-07-11T17:45:32-0700,1,1,1,0,1,0,0,1,0,47.3929,-122.3129,98198,11.0
40,1595.0,840.0,2.0,1.0,2018-07-11T17:45:12-0700,1,1,0,0,1,0,0,0,0,47.459973,-122.195892,,5.0
41,3491.0,982.0,2.0,2.0,2018-07-11T17:45:03-0700,1,1,1,0,1,0,1,0,0,47.668783,-122.388578,98107,14.0
42,1450.0,800.0,2.0,1.0,2018-07-11T17:44:48-0700,0,1,1,0,1,0,1,0,0,47.697922,-122.347329,98103,6.0
43,1501.0,1074.0,2.0,2.0,2018-07-11T17:44:39-0700,1,1,1,0,1,0,0,1,0,47.037533,-122.799158,,24.0
44,3320.0,889.0,2.0,2.0,2018-07-11T17:36:06-0700,1,1,1,0,1,0,1,0,0,47.669563,-122.38464,98107,23.0
45,1800.0,1200.0,3.0,2.0,2018-07-11T17:38:01-0700,1,1,1,0,1,0,0,0,0,47.228,-122.5396,,12.0
46,1505.0,1074.0,2.0,2.0,2018-07-11T17:43:56-0700,1,1,1,0,1,0,0,1,0,47.037792,-122.79991,,24.0
47,1650.0,1140.0,2.0,1.0,2018-07-11T17:43:50-0700,0,0,0,0,1,1,1,0,0,47.609213,-122.144333,,6.0
48,2272.0,1022.0,1.0,1.0,2018-07-11T17:43:25-0700,1,1,1,0,1,0,1,0,0,47.6155,-122.2072,,8.0
49,1720.0,1010.0,2.0,2.0,2018-07-11T17:43:05-0700,0,0,0,0,0,0,0,0,0,47.386714,-122.196615,98030,11.0
